0	0
1	0
2	0
3	3
4	4
5	4
6	3
7	0
8	0
9	9
10	10
11	11
12	20
13	13
14	0
15	0
16	3
17	4
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	0
26	0
27	3
28	4
29	0
30	0
31	3
32	0
33	0
34	34
35	35
36	36
37	37
38	4
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	47
48	48
49	0
50	0
51	51
52	3
53	53
54	4
55	0
56	0
57	0
58	0
59	59
60	0
61	61
62	0
63	0
64	0
65	0
66	0
67	4
68	3
69	0
70	0
71	0
72	0
73	3
74	4
75	20
76	76
77	77
78	78
79	79
80	0
81	0
82	3
83	4
84	3
85	0
86	0
87	87
88	88
89	89
90	90
91	4
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	4
101	101
102	102
103	103
104	104
105	0
106	0
107	3
108	0
109	0
110	0
111	0
112	0
113	0
114	114
115	115
116	0
117	0
118	0
119	0
